SG_UF,ANO_ELEICAO,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,NR_IDADE_DATA_POSSE,NM_COLIGACAO,SQ_COLIGACAO,NR_PARTIDO,NM_PARTIDO,QT_VOTOS,ranking_colig,CADEIRAS_r1,CADEIRAS_r2,CADEIRAS_r3,CADEIRAS_r4,eleito_r1,eleito_r2,eleito_r3,eleito_r4
TO,2018,6,DEPUTADO FEDERAL,3333,NUIR MACHADO DE LIMA FILHO,APTO,47,JUNTO COM O POVO,270000050684,33,PARTIDO DA MOBILIZAÇÃO NACIONAL,4128,4,0,0,0,0,0,0,0,0
AC,2018,6,DEPUTADO FEDERAL,1414,CHARLENE MARIA DE LIMA,APTO,47,Mudança e Competência 1,10000050074,14,PARTIDO TRABALHISTA BRASILEIRO,4124,13,6,5,6,5,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,9094,JOSÉ ANTONIO PEREIRA,APTO,51,PARTIDO ISOLADO,250000050020,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,4123,15,0,0,0,0,0,0,0,0
DF,2018,6,DEPUTADO FEDERAL,1800,MAURÍLIO BRAZ SANTANA JUNIOR,APTO,39,Brasília de Mãos Limpas,70000050382,18,REDE SUSTENTABILIDADE,4123,10,2,1,2,1,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,1543,ROBERTO DELFINO DA SILVA,APTO,52,PARTIDO ISOLADO,250000050112,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,4119,12,2,2,2,2,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,2038,FLAVIO PACCA CASTELLO BRANCO,APTO,57,POR UM RIO FELIZ,190000050205,20,PARTIDO SOCIAL CRISTÃO,4118,8,2,2,2,2,0,0,0,0
PB,2018,6,DEPUTADO FEDERAL,7070,BRUNO AUGUSTO DERIU,APTO,46,A FORÇA DO TRABALHO II,150000050127,70,AVANTE,4114,8,0,0,0,0,0,0,0,0
SC,2018,6,DEPUTADO FEDERAL,1501,CAMILA LUCHTENBERG,APTO,34,MUITO MAIS SANTA CATARINA,240000050250,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,4114,12,3,3,3,3,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,2810,FELIPE FREITAS DE ASSIS,APTO,24,PARTIDO ISOLADO,250000050631,28,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,4110,3,0,0,0,0,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,1712,JOSÉ DAMASCO BENTO,APTO,55,PARTIDO ISOLADO,130000050443,17,PARTIDO SOCIAL LIBERAL,4106,32,6,6,6,6,0,0,0,0
RN,2018,6,DEPUTADO FEDERAL,5522,ISABEL CRISTINA GORGONIO DE MEDEIROS,APTO,30,TRABALHO E SUPERAÇÃO I,200000050307,55,PARTIDO SOCIAL DEMOCRÁTICO,4103,14,4,4,4,4,0,0,0,0
RR,2018,6,DEPUTADO FEDERAL,1414,JUSCELINO KUBITSCHEK PEREIRA,APTO,53,COMPROMISSO COM RORAIMA,230000050425,14,PARTIDO TRABALHISTA BRASILEIRO,4102,2,0,1,0,1,0,0,0,0
MT,2018,6,DEPUTADO FEDERAL,3010,HEITOR PALHARINI JOAQUIM SANTANA,APTO,26,PARTIDO ISOLADO,110000050026,30,PARTIDO NOVO,4101,2,0,0,0,0,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,1778,ÉSIO DE JESUS VIANA,APTO,42,PARTIDO ISOLADO,130000050443,17,PARTIDO SOCIAL LIBERAL,4091,33,6,6,6,6,0,0,0,0
DF,2018,6,DEPUTADO FEDERAL,1310,MARIA AMERICA MENEZES BONFIM HAMU,APTO,58,PARTIDO ISOLADO,70000050289,13,PARTIDO DOS TRABALHADORES,4088,4,0,1,0,1,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,3132,JOELSON CAVALCANTE DA SILVA,APTO,49,PARTIDO ISOLADO,190000050173,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,4085,7,0,0,0,0,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,9003,GILBERTO CAETANO DE FRANÇA,APTO,62,PARTIDO ISOLADO,250000050020,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,4083,16,0,0,0,0,0,0,0,0
PE,2018,6,DEPUTADO FEDERAL,4050,PATRÍCIA GONÇALVES BRASIL,APTO,44,FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL,170000050271,40,PARTIDO SOCIALISTA BRASILEIRO,4068,14,8,8,8,8,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,1754,CARLOS VICTOR ANDRADE FRANCO,APTO,27,PARTIDO ISOLADO,190000050390,17,PARTIDO SOCIAL LIBERAL,4067,43,12,12,12,12,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,3117,RUBENS SCHRODER SOBRINHO,APTO,58,COMPROMISSO POR MINAS,130000050726,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,4062,16,2,2,2,2,0,0,0,0
RO,2018,6,DEPUTADO FEDERAL,5500,JORDANA FONSECA FERREIRA,APTO,37,"RONDÔNIA, ESPERANÇA DE UM NOVO TEMPO",220000050260,55,PARTIDO SOCIAL DEMOCRÁTICO,4056,6,2,2,2,2,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,1230,ADILSON MENDES FONSECA,APTO,62,RENOVAR PARA MUDAR,190000050414,12,PARTIDO DEMOCRÁTICO TRABALHISTA,4053,18,3,3,3,3,0,0,0,0
PR,2018,6,DEPUTADO FEDERAL,3150,AGNELSON GALASSI,APTO,53,"PRB, PHS, AVANTE",160000050507,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,4050,12,2,2,2,2,0,0,0,0
CE,2018,6,DEPUTADO FEDERAL,9093,HOMERO CATUNDA BATISTA,APTO,46,PARTIDO ISOLADO,60000050042,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,4048,9,2,2,2,2,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,3513,MICHELL GERMANO DE CARVALHO,APTO,34,POR UM RIO MAIS HONESTO,190000050393,35,PARTIDO DA MULHER BRASILEIRA,4044,10,0,0,0,0,0,0,0,0
AP,2018,6,DEPUTADO FEDERAL,1210,RAFAEL PONTES LIMA,APTO,39,COM A FORÇA DO POVO PRA SEGUIR CRESCENDO,30000050369,12,PARTIDO DEMOCRÁTICO TRABALHISTA,4036,7,2,2,2,2,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,4578,MARIA DE JESUS LOPES MARTINS SILVA,APTO,64,PSDB-PSD-DEM-PP,250000050157,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,4035,62,15,15,17,17,0,0,0,0
ES,2018,6,DEPUTADO FEDERAL,3003,JADIR EDUARDO SOUZA LUCAS,APTO,53,PARTIDO ISOLADO,80000050009,30,PARTIDO NOVO,4027,3,0,0,0,0,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,1311,RAFAELA ANDRADE SILVA,APTO,35,JUNTOS COM O POVO,130000050732,13,PARTIDO DOS TRABALHADORES,4023,41,12,12,12,12,0,0,0,0
RR,2018,6,DEPUTADO FEDERAL,7789,CLENILTON CARLOS CORREA DOS PRAZERES,APTO,35,UNIDOS POR RORAIMA,230000050066,77,SOLIDARIEDADE,4022,5,3,2,3,2,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,1444,PATRÍCIA FERREIRA DA SILVA,APTO,53,COLIGAÇÃO RIO GRANDE UNIDO E FORTE,210000050140,14,PARTIDO TRABALHISTA BRASILEIRO,4020,30,9,8,9,9,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,1899,CARLOS ALBERTO DOS SANTOS,APTO,55,Coligação Mobilização Sustentável por São Paulo,250000050467,18,REDE SUSTENTABILIDADE,4017,9,0,0,0,0,0,0,0,0
MS,2018,6,DEPUTADO FEDERAL,3033,LUIS AUGUSTO LIMA SCARPANTI,APTO,37,PARTIDO ISOLADO,120000050010,30,PARTIDO NOVO,4013,2,0,0,0,0,0,0,0,0
RO,2018,6,DEPUTADO FEDERAL,2555,CRISTIANO SILVA LISBOA,APTO,48,"RONDÔNIA, ESPERANÇA DE UM NOVO TEMPO",220000050260,25,DEMOCRATAS,4012,7,2,2,2,2,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,7708,LUCIANO LEAL TAVARES,APTO,48,O RIO TEM JEITO,190000050094,77,SOLIDARIEDADE,4010,14,2,2,2,2,0,0,0,0
AP,2018,6,DEPUTADO FEDERAL,2500,KASSYO SANTOS RAMOS,APTO,39,ALIANÇA SOCIAL E DEMOCRATICA,30000050458,25,DEMOCRATAS,4008,8,2,2,2,2,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,5588,IVANA COLVARA DE PAULA,APTO,56,RIO GRANDE VENCEDOR,210000050441,55,PARTIDO SOCIAL DEMOCRÁTICO,4002,9,1,1,1,1,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,7055,RAMON MOREIRA,APTO,57,PARTIDO ISOLADO,130000050180,70,AVANTE,3993,26,3,3,3,3,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,3044,ALEXANDRE RAIMUNDO BARROS LIMA,APTO,33,PARTIDO ISOLADO,130000050025,30,PARTIDO NOVO,3993,21,2,2,2,2,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,1723,LEVI GONÇALO CAVALINI,APTO,50,PARTIDO ISOLADO,250000050356,17,PARTIDO SOCIAL LIBERAL,3990,37,17,16,10,10,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,1727,LEDIMAR JUSTINO PERBONI,APTO,48,ENDIREITA RIO GRANDE,210000050101,17,PARTIDO SOCIAL LIBERAL,3989,22,4,4,4,4,0,0,0,0
AP,2018,6,DEPUTADO FEDERAL,7777,ODILSON SERRA NUNES,APTO,40,JUNTOS PODEMOS,30000050501,77,SOLIDARIEDADE,3987,5,1,1,1,1,0,0,0,0
PB,2018,6,DEPUTADO FEDERAL,7040,ALVARO GAUDÊNCIO NETO,APTO,61,A FORÇA DO TRABALHO II,150000050127,70,AVANTE,3985,9,0,0,0,0,0,0,0,0
PA,2018,6,DEPUTADO FEDERAL,3133,JOÃO CARLOS BERINA MELO,APTO,52,RENOVAÇÃO E TRABALHO,140000050177,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,3980,21,9,9,9,9,0,0,0,0
MA,2018,6,DEPUTADO FEDERAL,2800,WELLINGTON LUIS MORAES DE ALBUQUERQUE,APTO,42,JUNTOS PELO MARANHÃO 1,100000050372,28,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,3976,9,0,0,0,0,0,0,0,0
BA,2018,6,DEPUTADO FEDERAL,3021,LEONARDO PRAZERES ALVES,APTO,44,PARTIDO ISOLADO,50000050018,30,PARTIDO NOVO,3971,4,0,0,0,0,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,5013,SANDRA MARIA DA SILVA,APTO,59,FRENTE MINAS SOCIALISTA,130000050181,50,PARTIDO SOCIALISMO E LIBERDADE,3969,7,1,1,1,1,0,0,0,0
PA,2018,6,DEPUTADO FEDERAL,5151,LEANDRO DO COUTO DAMASCENO,APTO,35,Pará Renova,140000050270,51,PATRIOTA,3966,9,0,0,0,0,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,3131,CARLOS EDUARDO MOREIRA DA SILVA,APTO,45,PARTIDO ISOLADO,190000050173,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,3964,8,0,0,0,0,0,0,0,0
MT,2018,6,DEPUTADO FEDERAL,3020,EDUARDO AUGUSTO DOSSA,APTO,35,PARTIDO ISOLADO,110000050026,30,PARTIDO NOVO,3961,3,0,0,0,0,0,0,0,0
RO,2018,6,DEPUTADO FEDERAL,1133,SAMUEL FARIAS DA COSTA,APTO,45,JUNTOS POR UM NOVO TEMPO PARA RONDONIA II,220000050296,11,PARTIDO PROGRESSISTA,3958,14,4,3,4,3,0,0,0,0
AL,2018,6,DEPUTADO FEDERAL,3600,WAGNER SIMAS FILHO,APTO,51,Alagoas com o Povo II,20000050447,36,PARTIDO TRABALHISTA CRISTÃO,3957,13,4,4,4,4,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,3574,JOAO LUIZ DE SOUZA SANTOS,APTO,44,POR UM RIO MAIS HONESTO,190000050393,35,PARTIDO DA MULHER BRASILEIRA,3954,11,0,0,0,0,0,0,0,0
RR,2018,6,DEPUTADO FEDERAL,1530,OQUIMAR FRAZÃO DE FREITAS JÚNIOR,APTO,49,UNIDOS POR RORAIMA,230000050066,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,3952,6,3,2,3,2,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,3124,PAULO ROBERTO ANDRE SANTANA,APTO,63,PARTIDO ISOLADO,190000050173,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,3947,9,0,0,0,0,0,0,0,0
BA,2018,6,DEPUTADO FEDERAL,2000,GIVALDO FIUZA DE ALMEIDA,APTO,62,LIBERTA BAHIA,50000050236,20,PARTIDO SOCIAL CRISTÃO,3946,9,1,1,1,1,0,0,0,0
PR,2018,6,DEPUTADO FEDERAL,2888,DEUCÉLIO CARLOS RODRIGUES,APTO,47,UNIDOS PELO PARANÁ,160000050563,28,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,3943,3,0,0,0,0,0,0,0,0
ES,2018,6,DEPUTADO FEDERAL,4550,IZAIAS CORREA BARBOZA JUNIOR,APTO,43,ESPIRITO SANTO FORTE,80000050598,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,3943,6,2,2,2,2,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,4045,ADENOR  LUIZ SIMÕES COELHO,APTO,61,JUNTOS COM O POVO,130000050732,40,PARTIDO SOCIALISTA BRASILEIRO,3939,42,12,12,12,12,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,4045,ADENOR LUIZ SIMOES COELHO,INAPTO,61,#MINAS PARA TODOS,130000050539,40,PARTIDO SOCIALISTA BRASILEIRO,3939,37,8,8,8,8,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,2012,JOSE DO CARMO DE LIMA BARBOSA,APTO,44,UNIDOS POR MINAS,130000050297,20,PARTIDO SOCIAL CRISTÃO,3938,17,2,2,2,2,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,3377,SIDINEY DONIZETTI GUEDES,APTO,50,Coligação Mobilização Sustentável por São Paulo,250000050467,33,PARTIDO DA MOBILIZAÇÃO NACIONAL,3934,10,0,0,0,0,0,0,0,0
GO,2018,6,DEPUTADO FEDERAL,3123,DÁRIA CRISTINA SATHLER GARCIA,APTO,60,PARTIDO ISOLADO,90000050364,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,3898,2,0,0,0,0,0,0,0,0
PA,2018,6,DEPUTADO FEDERAL,3535,HENRIETTE WALDÍVIA TEIXEIRA DE BARROS,APTO,51,RENOVAÇÃO E TRABALHO,140000050177,35,PARTIDO DA MULHER BRASILEIRA,3892,22,9,9,9,9,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,1570,TIFANNY PEREIRA DE ABREU,APTO,34,PARTIDO ISOLADO,250000050112,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,3889,13,2,2,2,2,0,0,0,0
RN,2018,6,DEPUTADO FEDERAL,7707,KATRIM DE OLIVEIRA PINHEIRO,APTO,45,RENOVA RN I,200000050024,77,SOLIDARIEDADE,3886,14,1,1,1,1,0,0,0,0
BA,2018,6,DEPUTADO FEDERAL,1000,CRISTIANE BACELAR TEGOURTI,APTO,43,UNIDOS PARA MUDAR A BAHIA,50000050223,10,PARTIDO REPUBLICANO BRASILEIRO,3884,23,6,5,6,5,0,0,0,0
PI,2018,6,DEPUTADO FEDERAL,2800,ANTÔNIO UCHÔA DE OLIVEIRA,APTO,64,PARTIDO ISOLADO,180000050410,28,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,3883,1,0,0,0,0,0,0,0,0
PA,2018,6,DEPUTADO FEDERAL,3113,JOÃO MACHADO FURTADO,APTO,60,RENOVAÇÃO E TRABALHO,140000050177,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,3878,23,9,9,9,9,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,9050,NEUBERT VIEIRA GONÇALVES,APTO,21,PARTIDO ISOLADO,130000050538,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,3874,7,2,2,2,2,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,1955,JULIANO CAMILO BORGES,APTO,36,UNIDOS POR SÃO PAULO,250000050366,19,PODEMOS,3873,19,2,2,3,3,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,1932,RICARDO GAMBARONI,APTO,53,UNIDOS POR SÃO PAULO,250000050366,19,PODEMOS,3868,20,2,2,3,3,0,0,0,0
GO,2018,6,DEPUTADO FEDERAL,3131,JEOVANE LOPES DA SILVA,APTO,49,PARTIDO ISOLADO,90000050364,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,3868,3,0,0,0,0,0,0,0,0
PR,2018,6,DEPUTADO FEDERAL,3141,CRISTIAN MARCOS MAIA DA SILVA,APTO,47,"PRB, PHS, AVANTE",160000050507,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,3865,13,2,2,2,2,0,0,0,0
PA,2018,6,DEPUTADO FEDERAL,5080,PEDRO PAULO CAVALERO DOS SANTOS,APTO,54,JUNTOS PARA MUDAR,140000050125,50,PARTIDO SOCIALISMO E LIBERDADE,3864,10,1,1,1,1,0,0,0,0
MA,2018,6,DEPUTADO FEDERAL,4500,ALEXSANDRA VIANA PEREIRA,APTO,48,CORAGEM E UNIÃO PARA FAZER O MARANHÃO MELHOR - 1,100000050245,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,3862,7,1,1,1,1,0,0,0,0
RR,2018,6,DEPUTADO FEDERAL,2020,FRANKEMBERGEN GALVÃO DA COSTA,APTO,56,RORAIMA ACIMA DE TUDO,230000050174,20,PARTIDO SOCIAL CRISTÃO,3856,4,3,2,3,2,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,3080,RAPHAEL TAVARES PINTO,APTO,39,PARTIDO ISOLADO,130000050025,30,PARTIDO NOVO,3854,22,2,2,2,2,0,0,0,0
SE,2018,6,DEPUTADO FEDERAL,6555,LUCIMARA DANTAS PASSOS,APTO,46,PRA SERGIPE AVANÇAR,260000050630,65,PARTIDO COMUNISTA DO BRASIL,3852,9,5,4,5,4,0,0,0,0
MA,2018,6,DEPUTADO FEDERAL,1322,RAIMUNDO PEREIRA DE SOUZA,APTO,62,PARTIDO ISOLADO,100000050434,13,PARTIDO DOS TRABALHADORES,3850,7,0,1,0,1,0,0,0,0
MA,2018,6,DEPUTADO FEDERAL,3300,ANTONIO ESMERAHDSON DE PINHO DA SILVA,APTO,49,JUNTOS PELO MARANHÃO,100000050395,33,PARTIDO DA MOBILIZAÇÃO NACIONAL,3844,12,2,2,2,2,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,7740,EDUARDO PEREIRA DE ABREU,APTO,44,PARTIDO ISOLADO,250000050143,77,SOLIDARIEDADE,3844,14,0,1,0,1,0,0,0,0
AP,2018,6,DEPUTADO FEDERAL,1477,PAULO HENRIQUE CAMPELO BARBOSA,APTO,43,AMAPÁ DA GENTE,30000050683,14,PARTIDO TRABALHISTA BRASILEIRO,3830,3,1,1,1,1,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,7021,NATALICIO TENORIO CAVALCANTI FREITAS LIMA,APTO,54,PARTIDO ISOLADO,130000050180,70,AVANTE,3820,27,3,3,3,3,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,3033,ROGERIO ALCANTARA DE MELO,APTO,51,PARTIDO ISOLADO,130000050025,30,PARTIDO NOVO,3820,23,2,2,2,2,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,9040,LAURO ANTONIO DE OLIVEIRA FILHO,APTO,42,POR UM RIO FELIZ,190000050205,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,3818,9,2,2,2,2,0,0,0,0
MS,2018,6,DEPUTADO FEDERAL,2020,FABIO LUIS DA SILVA,APTO,46,"AMOR, TRABALHO E FÉ I",120000050667,20,PARTIDO SOCIAL CRISTÃO,3809,3,0,0,0,0,0,0,0,0
PE,2018,6,DEPUTADO FEDERAL,1770,BRUNA KARINA ANASTÁCIA GOMES DA SILVA,APTO,26,AVANÇA PERNAMBUCO,170000050457,17,PARTIDO SOCIAL LIBERAL,3809,13,2,2,2,2,0,0,0,0
PR,2018,6,DEPUTADO FEDERAL,4350,MAURICIO ELVIS SCHNEIDER,APTO,46,PARTIDO ISOLADO,160000050347,43,PARTIDO VERDE,3808,11,1,1,1,1,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,1707,VILMA CIDADE DA SILVA,APTO,58,ENDIREITA RIO GRANDE,210000050101,17,PARTIDO SOCIAL LIBERAL,3805,23,4,4,4,4,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,5045,JEFERSON BARROS DA SILVA,APTO,47,MUDAR É POSSÍVEL,190000050058,50,PARTIDO SOCIALISMO E LIBERDADE,3805,11,4,4,4,4,0,0,0,0
BA,2018,6,DEPUTADO FEDERAL,3134,ALAN BRUNO FREITAS MIRANDA,APTO,30,RENOVA BAHIA,50000050178,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,3790,20,3,3,3,3,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,5001,ADOLFO RAPHAEL SILVA MARIANO DE OLIVEIRA,APTO,23,SEM MEDO DE MUDAR SÃO PAULO,250000050048,50,PARTIDO SOCIALISMO E LIBERDADE,3789,22,3,3,3,3,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,1277,VILSON ANTONIO ROMERO,APTO,61,FRENTE TRABALHISTA SUSTENTAVEL,210000050135,12,PARTIDO DEMOCRÁTICO TRABALHISTA,3788,16,3,3,3,3,0,0,0,0
BA,2018,6,DEPUTADO FEDERAL,2580,MÁRCIO JANDIR SILVA SOARES,APTO,48,UNIDOS PARA MUDAR A BAHIA,50000050223,25,DEMOCRATAS,3786,24,6,5,6,5,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,4032,CELIO LUCAS DE ALMEIDA,APTO,53,"Coligação PSB, PTB, PPS, PSC",250000050402,40,PARTIDO SOCIALISTA BRASILEIRO,3784,48,6,6,7,7,0,0,0,0
AM,2018,6,DEPUTADO FEDERAL,6565,YANN EVANOVICK LEITÃO FURTADO,APTO,28,O POVO FELIZ DE NOVO,40000050768,65,PARTIDO COMUNISTA DO BRASIL,3782,4,1,1,1,1,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,7008,HELOISA VIEIRA CERRI,APTO,72,PARTIDO ISOLADO,130000050180,70,AVANTE,3781,28,3,3,3,3,0,0,0,0
AM,2018,6,DEPUTADO FEDERAL,2233,PATRICIA DEL PILAR SUAREZ SICCHAR,APTO,43,EU VOTO NO AMAZONAS I,40000050278,22,PARTIDO DA REPÚBLICA,3780,11,4,4,4,4,0,0,0,0
MT,2018,6,DEPUTADO FEDERAL,3077,JULIANA FERREIRA LOBO DOS SANTOS,APTO,39,PARTIDO ISOLADO,110000050026,30,PARTIDO NOVO,3779,4,0,0,0,0,0,0,0,0
MA,2018,6,DEPUTADO FEDERAL,5151,JOSE COSMO FRAZAO FERRAZ,APTO,67,TODOS PELO MARANHÃO 2,100000050046,51,PATRIOTA,3778,14,6,5,6,5,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,3018,LEONARDO HOMRICH GRANZOTTO,APTO,42,PARTIDO ISOLADO,210000050077,30,PARTIDO NOVO,3777,8,2,2,1,1,0,0,0,0
GO,2018,6,DEPUTADO FEDERAL,3000,HELIO RODRIGUES DE ALMEIDA,APTO,73,PARTIDO ISOLADO,90000050073,30,PARTIDO NOVO,3776,4,0,0,0,0,0,0,0,0
PR,2018,6,DEPUTADO FEDERAL,1707,SILVANA GABARDO,APTO,51,ENDIREITA BRASIL,160000050714,17,PARTIDO SOCIAL LIBERAL,3774,19,3,3,3,3,0,0,0,0
MA,2018,6,DEPUTADO FEDERAL,4065,SHIRLEY REGINA RIBEIRO DA SILVA PINTO,APTO,43,TODOS PELO MARANHÃO 1,100000050055,40,PARTIDO SOCIALISTA BRASILEIRO,3774,17,6,6,6,6,0,0,0,0
PE,2018,6,DEPUTADO FEDERAL,5111,GILSON FRANCELINO DE ARAUJO SILVA,APTO,42,PARTIDO ISOLADO,170000050462,51,PATRIOTA,3773,7,1,1,1,1,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,1778,SANDRO DE MOURA ALEXANDRE,APTO,49,PARTIDO ISOLADO,190000050390,17,PARTIDO SOCIAL LIBERAL,3767,44,12,12,12,12,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,4090,GILVAM ALMEIDA SÁ,APTO,59,JUNTOS COM O POVO,130000050732,40,PARTIDO SOCIALISTA BRASILEIRO,3765,43,12,12,12,12,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,4090,GILVAM ALMEIDA SA,INAPTO,59,#MINAS PARA TODOS,130000050539,40,PARTIDO SOCIALISTA BRASILEIRO,3765,38,8,8,8,8,0,0,0,0
GO,2018,6,DEPUTADO FEDERAL,1318,JULIO ANDERSON ALVES BUENO,APTO,39,MUDANÇA DE VERDADE,90000050496,13,PARTIDO DOS TRABALHADORES,3762,5,0,1,0,1,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,4044,JEFERSON TADEU COSTA SOUZA VASQUEZ,INAPTO,34,#MINAS PARA TODOS,130000050539,40,PARTIDO SOCIALISTA BRASILEIRO,3762,39,8,8,8,8,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,4044,JEFERSON TADEU COSTA SOUZA VASQUEZ,APTO,34,JUNTOS COM O POVO,130000050732,40,PARTIDO SOCIALISTA BRASILEIRO,3762,44,12,12,12,12,0,0,0,0
AP,2018,6,DEPUTADO FEDERAL,5577,MARCOS JOSE REATEGUI DE SOUZA,APTO,58,ALIANÇA SOCIAL E DEMOCRATICA,30000050458,55,PARTIDO SOCIAL DEMOCRÁTICO,3759,9,2,2,2,2,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,1703,PEDRO AYRES DE SOUZA,APTO,70,PARTIDO ISOLADO,250000050356,17,PARTIDO SOCIAL LIBERAL,3751,38,17,16,10,10,0,0,0,0
BA,2018,6,DEPUTADO FEDERAL,1503,MARUSE DANTAS XAVIER,APTO,71,PRA MUDAR DE VERDADE,50000050210,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,3743,6,0,0,0,0,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,3121,BENEDITO RUBENS RENO BENE GUEDES,APTO,76,COMPROMISSO POR MINAS,130000050726,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,3741,17,2,2,2,2,0,0,0,0
PR,2018,6,DEPUTADO FEDERAL,3033,SILMARA MONTES,APTO,51,PARTIDO ISOLADO,160000050049,30,PARTIDO NOVO,3739,13,0,0,0,0,0,0,0,0
ES,2018,6,DEPUTADO FEDERAL,1870,EDILAMARA RANGEL GOMES ALVES FRANCISCO,APTO,40,A FORÇA DO TRABALHO,80000050351,18,REDE SUSTENTABILIDADE,3733,8,0,0,0,0,0,0,0,0
MS,2018,6,DEPUTADO FEDERAL,4511,ANA CRISTINA ESPINOLA CANDIA,APTO,51,AVANÇAR COM RESPONSABILIDADE IV,120000050357,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,3731,14,6,4,6,4,0,0,0,0
