SG_UF,ANO_ELEICAO,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,NR_IDADE_DATA_POSSE,NM_COLIGACAO,SQ_COLIGACAO,NR_PARTIDO,NM_PARTIDO,QT_VOTOS,ranking_colig,CADEIRAS_r1,CADEIRAS_r2,CADEIRAS_r3,CADEIRAS_r4,eleito_r1,eleito_r2,eleito_r3,eleito_r4
RS,2018,6,DEPUTADO FEDERAL,1710,BENTA ZILMA FAGUNDES ANTUNES,APTO,53,ENDIREITA RIO GRANDE,210000050101,17,PARTIDO SOCIAL LIBERAL,1151,27,4,4,4,4,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,3120,ADRIANA PINHEIRO GODINHO,APTO,39,COMPROMISSO POR MINAS,130000050726,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,1151,39,2,2,2,2,0,0,0,0
PR,2018,6,DEPUTADO FEDERAL,4480,TERESINHA DEPUBEL DANTAS,APTO,69,UNIDOS PELO PARANÁ,160000050563,44,PARTIDO REPUBLICANO PROGRESSISTA,1150,6,0,0,0,0,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,5444,ADMIR GERVASIO MOREIRA,APTO,65,PARTIDO ISOLADO,250000050261,54,PARTIDO PÁTRIA LIVRE,1150,13,0,0,0,0,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,7760,MAURO JOSE CAMPOS FRANCISCO,APTO,40,O RIO TEM JEITO,190000050094,77,SOLIDARIEDADE,1150,34,2,2,2,2,0,0,0,0
PR,2018,6,DEPUTADO FEDERAL,4332,JOELMA BARBOSA DE LIRA PITA,APTO,42,PARTIDO ISOLADO,160000050347,43,PARTIDO VERDE,1149,20,1,1,1,1,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,5106,MAURICI ARAGÃO TAVARES,APTO,67,PARTIDO ISOLADO,250000050086,51,PATRIOTA,1148,37,0,0,0,0,0,0,0,0
RN,2018,6,DEPUTADO FEDERAL,1900,RICARDO MENDONCA FERNANDES,APTO,40,100% RN I,200000050348,19,PODEMOS,1148,16,2,2,2,2,0,0,0,0
PR,2018,6,DEPUTADO FEDERAL,5432,LUCIANO XAVIER DE AZEVEDO,APTO,38,Coligação do bem e da verdade para mudar o Paraná,160000050264,54,PARTIDO PÁTRIA LIVRE,1148,15,0,0,0,0,0,0,0,0
PE,2018,6,DEPUTADO FEDERAL,5055,LEVI COSTA DE OLIVEIRA PONTES,APTO,33,A Esperança Não Tem Medo,170000050194,50,PARTIDO SOCIALISMO E LIBERDADE,1148,11,0,0,0,0,0,0,0,0
PR,2018,6,DEPUTADO FEDERAL,1055,GERSON GOMES,APTO,42,"PRB, PHS, AVANTE",160000050507,10,PARTIDO REPUBLICANO BRASILEIRO,1147,24,2,2,2,2,0,0,0,0
BA,2018,6,DEPUTADO FEDERAL,3655,JOSE ALDEMAR GOMES SILVA,APTO,54,Time do Trabalho de Todos os Baianos,50000050612,36,PARTIDO TRABALHISTA CRISTÃO,1146,16,0,1,0,1,0,0,0,0
TO,2018,6,DEPUTADO FEDERAL,4417,HENRIQUE LAZARO LOPES CARDOSO,APTO,51,JUNTO COM O POVO,270000050684,44,PARTIDO REPUBLICANO PROGRESSISTA,1144,6,0,0,0,0,0,0,0,0
AL,2018,6,DEPUTADO FEDERAL,1577,JOSIENE MARIA DA SILVA,APTO,38,Avança Mais Alagoas 1,20000050577,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,1144,16,5,5,5,5,0,0,0,0
SC,2018,6,DEPUTADO FEDERAL,4566,MARA REGINA DOS SANTOS,APTO,44,SANTA CATARINA MAIS FORTE,240000050252,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,1142,18,2,2,2,2,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,3322,LUCIANA FRANÇA ROCHA,APTO,43,PMN / AVANTE,190000050433,33,PARTIDO DA MOBILIZAÇÃO NACIONAL,1142,31,0,1,0,1,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,6556,VÍTOR FRANÇA RUAS,APTO,50,PARTIDO ISOLADO,210000050247,65,PARTIDO COMUNISTA DO BRASIL,1141,13,0,0,0,0,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,1350,ELIAS KOCZKODAY,APTO,44,PARTIDO ISOLADO,210000050305,13,PARTIDO DOS TRABALHADORES,1141,20,5,5,5,5,0,0,0,0
DF,2018,6,DEPUTADO FEDERAL,4555,LEANDRO NARDY DE ALMEIDA,APTO,43,UNIÃO E FORÇA,70000050690,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,1141,12,3,2,3,2,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,1706,RÔMULO CALIXTO MAGALHÃES,APTO,41,PARTIDO ISOLADO,130000050443,17,PARTIDO SOCIAL LIBERAL,1141,52,6,6,6,6,0,0,0,0
RO,2018,6,DEPUTADO FEDERAL,9000,ROMERITO PEREIRA DA SILVA,APTO,33,FRENTE RONDÔNIA POPULAR,220000050191,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,1141,11,0,0,0,0,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,1213,EMMANUEL BERNARDES FRANCISCO VIEGAS,APTO,82,RENOVAR PARA MUDAR,190000050414,12,PARTIDO DEMOCRÁTICO TRABALHISTA,1140,36,3,3,3,3,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,1988,RONALDO DORNELAS,APTO,56,PARTIDO ISOLADO,130000050653,19,PODEMOS,1138,11,1,1,1,1,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,7023,ROBERTO FRANCISCO DE SOUZA,APTO,51,PARTIDO ISOLADO,250000050187,70,AVANTE,1138,29,0,0,0,0,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,9040,ADELINA RODRIGUES MARTINS,APTO,48,PARTIDO ISOLADO,130000050538,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,1137,15,2,2,2,2,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,9077,FLAVIO LIMA DA SILVA,APTO,45,POR UM RIO FELIZ,190000050205,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,1137,25,2,2,2,2,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,1968,WANESSA IGESCA VALVERDE,APTO,43,UNIDOS POR SÃO PAULO,250000050366,19,PODEMOS,1136,50,2,2,3,3,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,4416,TÉSSIA LÔNICA MARQUES DA SILVA RIBEIRO,APTO,32,PARTIDO ISOLADO,190000050661,44,PARTIDO REPUBLICANO PROGRESSISTA,1136,24,1,1,1,1,0,0,0,0
PI,2018,6,DEPUTADO FEDERAL,5051,MARIA MADALENA NUNES,APTO,56,PODER POPULAR NA CONSTRUÇÃO DO PIAUÍ,180000050188,50,PARTIDO SOCIALISMO E LIBERDADE,1135,4,0,0,0,0,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,7006,LIETIDES RAMOS DE NOVAES,APTO,61,PARTIDO ISOLADO,250000050187,70,AVANTE,1134,30,0,0,0,0,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,1807,JAMAL MAHD HASAN HARFOUSH,APTO,49,COLIGAÇÃO RIO GRANDE UNIDO E FORTE,210000050140,18,REDE SUSTENTABILIDADE,1133,39,9,8,9,9,0,0,0,0
BA,2018,6,DEPUTADO FEDERAL,5117,SINVAL ALENCAR SILVA,APTO,29,COLIGAÇÃO REDE PATRIOTA,50000050122,51,PATRIOTA,1133,16,0,0,0,0,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,5121,CLOVES ALVES DE SOUZA,APTO,58,PARTIDO ISOLADO,250000050086,51,PATRIOTA,1129,38,0,0,0,0,0,0,0,0
PE,2018,6,DEPUTADO FEDERAL,5166,GERALDO DOMINGOS DA SILVA,APTO,55,PARTIDO ISOLADO,170000050462,51,PATRIOTA,1129,13,1,1,1,1,0,0,0,0
SE,2018,6,DEPUTADO FEDERAL,1000,MARLEIDE DOS SANTOS,APTO,44,CORAGEM PARA MUDAR SERGIPE,260000050582,10,PARTIDO REPUBLICANO BRASILEIRO,1129,12,3,3,3,3,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,1708,ALTAISA DA SILVA TEIXEIRA,APTO,58,PARTIDO ISOLADO,190000050390,17,PARTIDO SOCIAL LIBERAL,1128,57,12,12,12,12,0,0,0,0
GO,2018,6,DEPUTADO FEDERAL,3140,ELOÍSO ALVES DE MATOS,APTO,51,PARTIDO ISOLADO,90000050364,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,1128,8,0,0,0,0,0,0,0,0
CE,2018,6,DEPUTADO FEDERAL,1710,JOSE WILLINS DE CASTRO DA SILVA,APTO,54,JUNTOS PARA RENOVAR,60000050319,17,PARTIDO SOCIAL LIBERAL,1126,15,0,1,0,1,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,1017,CAROLINE GROOT,APTO,27,PARTIDO ISOLADO,250000050175,10,PARTIDO REPUBLICANO BRASILEIRO,1125,66,6,6,6,6,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,1418,LUIZ CARLOS SIQUEIRA PEREIRA,APTO,55,O RIO QUER PAZ,190000050195,14,PARTIDO TRABALHISTA BRASILEIRO,1124,54,9,9,9,9,0,0,0,0
BA,2018,6,DEPUTADO FEDERAL,1812,ANILTON ARAUJO DE SOUSA,APTO,43,COLIGAÇÃO REDE PATRIOTA,50000050122,18,REDE SUSTENTABILIDADE,1124,17,0,0,0,0,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,1757,WALKIRIA LUIZ FERNANDES APPS,APTO,42,PARTIDO ISOLADO,130000050443,17,PARTIDO SOCIAL LIBERAL,1124,53,6,6,6,6,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,4526,MIGUEL ISAAC FILHO,APTO,52,PSDB-PSD-DEM-PP,250000050157,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,1123,81,15,15,17,17,0,0,0,0
MA,2018,6,DEPUTADO FEDERAL,1344,MARIA CLARA BATA FARIAS,APTO,35,PARTIDO ISOLADO,100000050434,13,PARTIDO DOS TRABALHADORES,1123,15,0,1,0,1,0,0,0,0
